year,mandal,accident_prone_area,latitude,longitude,road_type,vehicles,fatalities,injuries,accident_type,weather,cause
2024,Ramagundam,Medipally Cross Road,18.7152,79.4623,highway,3,1,1,head-on,clear,clear junction design issue
2023,Ramagundam,Ramagundam Railway Station,18.7589,79.4456,urban road,1,0,1,bike,clear,clear poor road condition
2024,Ramagiri,Centenary Colony X Road,18.612,79.525,junction,1,1,1,auto-bike,clear,clear poor lighting
2020,Manthani,Kannala Cross Road,18.6144,79.6211,junction,3,1,3,car-lorry,foggy,foggy poor visibility
2024,Sultanabad,Poosala Curve,18.545,79.336,highway,1,0,2,bike-auto,clear,clear overspeeding
2022,Anthergaon,Eklaspur Stage,18.721,79.392,rural road,2,0,1,bike-auto,clear,clear poor lighting
2023,Peddapalli,Peddapalli Bus Stand,18.6155,79.3744,junction,4,1,2,truck-auto,rainy,rainy wet road surface
2023,Peddapalli,Appannapeta Bridge,18.6341,79.395,highway,2,1,2,truck-auto,clear,clear junction design issue
2023,Peddapalli,Andugulapalli Junction,18.636,79.392,junction,2,2,1,truck-car,clear,clear junction design issue
2022,Ramagundam,Malkapur NH Stretch,18.7845,79.5123,highway,3,0,4,truck-auto,clear,clear overspeeding
2025,Srirampur,Nagepalli Curve,18.534,79.325,highway,1,1,1,bike-auto,clear,clear dangerous curve
2023,Peddapalli,Godavari Road Peddapalli,18.622,79.387,urban road,1,0,0,bike,clear,clear lane violation
2023,Dharmaram,Dongatuniki Gate,18.7215,79.2885,highway,4,0,2,truck-car,clear,clear junction design issue
2021,Sultanabad,Shastrynagar Sultanabad,18.549,79.335,highway,3,1,3,truck-auto,clear,clear overspeeding
2021,Ramagundam,Ramagundam Railway Station,18.7589,79.4456,urban road,1,1,1,bike-auto,clear,clear lack of signage
2023,Anthergaon,Basanthnagar X Road,18.712,79.418,junction,3,1,2,head-on,clear,clear overspeeding
2021,Sultanabad,Shastrynagar Sultanabad,18.549,79.335,highway,4,1,1,bike-lorry,foggy,foggy poor visibility
2020,Odela,Odela X Road,18.4912,79.4125,junction,2,0,1,bike-auto,clear,clear poor road condition
2021,Julapalli,Julapalli X Road,18.6015,79.324,junction,3,1,1,car-lorry,clear,clear overspeeding
